"Cenario","Sigma_S","Sigma_B","p_star_mediana","p_star_Q1","p_star_Q3","premio_L_mediana"
"1. Base (Historico)",0.246743076882982,0.223728159245294,0.952744937439765,0.823980095501699,1.09612788831341,-0.138883462386901
"2. Mandato (ProBioQAV)",0.246743076882982,0.335592238867942,1.17544000997336,1.04181751392474,1.32391930877522,0.515621283862097
"3. Incentivo (Oferta)",0.172720153818088,0.223728159245294,1.13078185110365,0.966232740454165,1.32052120138955,0.38437016722792
"4. Estabilidade (Maturidade)",0.15,0.15,0.999984195131543,0.826351123334249,1.19834798227022,-4.64507871743081e-05
